UID,title,authors,abstract,pdf_url,SessionInformation,presentation_id,GatherTownLink,ZoomLink
IAAI-145,Preclinical Stage Alzheimer's Disease Detection Using Magnetic Resonance Image Scans,Fatih Altay|Guillermo Sánchez|Yanli James|Senem Velipasalar|Asif Salekin,"Alzheimer's disease is one of the diseases that mostly affects older people without being a part of aging. The most common symptoms include problems with communicating and abstract thinking, as well as disorientation. It is important to detect Alzheimer's disease in early stages so that cognitive functioning would be improved by medication and training. In this paper, we propose two attention model networks for detecting Alzheimer's disease from MRI images to help early detection efforts at the preclinical stage. We also compare the performance of these two attention network models with a baseline model. Recently available OASIS-3 Longitudinal Neuroimaging, Clinical, and Cognitive Dataset is used to train, evaluate and compare our models. The novelty of this research resides in the fact that we aim to detect Alzheimer's disease when all the parameters, physical assessments, and clinical data state that the patient is healthy and showing no symptoms.",,,,,
IAAI-149,EeLISA: Combating Global Warming Through the Rapid Analysis of Eelgrass Wasting Disease,Brendan Rappazzo|Morgan Eisenlord|Olivia Graham|Lillian Aoki|Phoebe Dawkins|Drew Harvell|Carla Gomes,"Global warming is the greatest threat facing our planet, and is causing environmental disturbance at an unprecedented scale. We are strongly positioned to leverage the advancements of Artificial Intelligence (AI) and Machine Learning (ML) which provide humanity, for the first time in history, an analysis and decision making tool at massive scale. Strong evidence supports that global warming is contributing to marine ecosystem decline, including eelgrass habitat. Eelgrass is affected by an opportunistic marine pathogen and infections are likely exacerbated by rising ocean temperatures. The necessary disease analysis required to inform conservation priorities is incredibly laborious, and acts as a significant bottleneck for research. To this end, we developed EeLISA (Eelgrass Lesion Image Segmentation Application). EeLISA enables ecologist experts to train a segmentation module to perform this crucial analysis at human level accuracy, while minimizing their labeling time and integrating into their existing workflow. EeLISA has been deployed for over 16 months, and has facilitated the preparation of four manuscripts including a critical eelgrass study ranging from Southern California to Alaska. These studies, utilizing EeLISA, have led to scientific insight and discovery in marine disease ecology.",,,,,
IAAI-151,Author Homepage Discovery in CiteSeerX,Krutarth Patel|Cornelia Caragea|Doina Caragea|C. Lee Giles,"Scholarly digital libraries provide access to scientific publications and comprise useful resources for researchers. CiteSeerX is one such digital library search engine that provides access to more than 10 million academic documents. We propose a novel search-driven approach to build and maintain a large collection of homepages that can be used as seed URLs in any DL including CiteSeerX to crawl scientific documents. Precisely, we integrate Web search and classification in a unified approach to discover new homepages: first, we use publicly-available author names and research paper titles as queries to a Web search engine to find relevant content, and then we identify the correct homepages from the search results using a powerful deep learning classifier based on Convolutional Neural Networks. Moreover, we use Self-Training in order to reduce the labeling effort and to utilize the unlabeled data to train the efficient researcher homepage classifier. Our experiments on a large scale dataset highlight the effectiveness of our search-driven approach, and position Web search as an effective method for acquiring authors' homepages. We show the development and deployment of the proposed approach in CiteSeerX and the maintenance requirements. Our datasets and code will be made available online.",,,,,
IAAI-190,Using Unsupervised Learning for Data-driven Procurement Demand Aggregation,Eran Shaham|Adam Westerski|Rajaraman Kanagasabai|Amudha Narayanan|Samuel Ong|Jiayu Wong|Manjeet Singh,"Procurement is an essential operation of every organization, regardless of its size or domain. As such, aggregating the demands could lead to a better value-for-money due to: (1) lower bulk prices; (2) larger vendor tendering; (3) lower shipping and handling fees; and (4) reduced legal and admin overhead. This paper describes our experience on developing an AI solution for demand aggregation and deploying it in A*STAR, a large governmental research organization in Singapore, with procurement expenditure in the scale of 100’s of millions of dollars yearly. We formulate the demand aggregation problem using a bipartite graph model depicting the relationship between procured items and target vendors, and show that identifying maximal edge bicliques within that graph would reveal potential demand aggregation patterns. We propose an unsupervised learning methodology for efficiently mining such bicliques using a novel Monte Carlo sub-space clustering approach. Based on this, a proof-of-concept prototype was developed and tested with the end-users during 2017, and later trialed and iteratively refined, before being rolled out in 2019. The final performance achieved on past cases benchmark was: 100% precision (all aggregation opportunities identified by the engine were correct) and 71% re-call (the engine correctly identified 71% of the past aggregation exercises that were transformed into bulk tenders). The performance for new opportunities pointed out by the engine was 81% (i.e., 81% of the newly identified cases were deemed useful cases for potential bulk tender contracts in the future). Overall, the cost savings from the true positive contracts spotted so far are estimated to be S$7M annually.",,,,,
IAAI-21,JEL: Applying End-to-End Neural Entity Linking in JPMorgan Chase,Wanying Ding|Vinay Chaudhri|Naren Chittar|Krihshna Konakanchi,"Knowledge Graphs have emerged as a compelling abstraction for capturing key relationship among the entities of interest to enterprises and for integrating data from heterogeneous sources. JPMorgan Chase (JPMC) is leading this trend by leveraging knowledge graphs across the organization for multiple mission critical applications such as risk assessment, fraud detection, investment advice, etc. A core problem in leveraging a knowledge graph is to link mentions (e.g., company names) that are encountered in multiple information sources to entities in the knowledge graph. Although several techniques exist for entity linking, but they are tuned for entities that exist in Wikipedia, and fail to generalize for the entities that are of interest to an enterprise. In this paper, we propose a novel end-to-end neural entity linking model (JEL) that deploys a margin loss to generate entity embedding with minimum context information, and implements a Wide & Deep Learning to match character and semantic information respectively. We show that JEL achieves the state-of-the-art performance to link mentions of company names in financial news with entities in our knowledge graph. We report on our efforts to deploy this model in the company-wide system to generate alerts in response to financial news. The methodology used for JEL is directly applicable and usable by other enterprises who need entity linking solutions for data that is unique to their respective situation.",,,,,
IAAI-34,VRU Pose-SSD:  Multiperson  Pose  Estimation  For  Automated  Driving,Chandan Kumar|Jayanth Ramesh|Bodhisattwa Chakraborty|Renjith Raman|Christoph Weinrich|Anurag Mundhada|Arjun Jai|Fabian Flohr,"We present a fast and efficient approach for joint person detection and pose estimation optimized for automated driving (AD) in urban scenarios. We use a multitask weight sharing architecture to jointly train detection and pose estimation. This modular architecture allows us to accommodate different downstream tasks in the future. By systematic large-scale experiments on the Tsinghua-Daimler Urban Pose Dataset (TDUP), we obtain multiple models with varying accuracy-speed trade-offs. We then quantize and optimize our network for deployment and present a detailed analysis of the efficacy of the algorithm. We introduce a two-stage evaluation strategy, which is more suitable for AD and achieve a significant performance improvement in comparison to state-of-the-art approaches. Our optimized model runs at 52~fps on full HD images and still reaches a competitive performance of 32.25~LAMR. We are confident that our work serves as an enabler to tackle higher-level tasks like VRU intention estimation and gesture recognition, which rely on stable pose estimates and will play a crucial role in future AD systems.",,,,,
IAAI-55,Predicting Accidents in the Mining Industry with a Multitask Learning Approach,Rodolfo Palma|Luis Martí|Nayat Sanchez-Pi,"The mining sector is a very relevant part of the  Chilean economy, representing more than 14\% of the country’s GDP and more than 50\% of its exports. However, mining is also a high-risk activity where health, safety, and environmental aspects are fundamental concerns to take into account to render it viable in the longer term. The Chilean National Geology and Mining Service (SERNAGEOMIN, after its name in Spanish) is in charge of ensuring the safe operation of mines. On-site inspections are their main tool in order to detect issues, propose corrective measures, and track the compliance of those measures.  Consequently, it is necessary to create inspection programs relying on a data-based decision-making strategy.        This paper reports the work carried out in one of the most relevant dimensions of said strategy: predicting the mining worksites accident risk. That is, how likely it is a mining worksite to have accidents in the future. This risk is then used to create a priority ranking that is used to devise the inspection program. Estimating this risk at the government regulator level is particularly challenging as there is a very limited and biased data.        Our main contribution is to apply a multi-task learning approach to train the risk prediction model in such a way that is able to overcome the constraints of the limited availability of data by fusing different sources. As part of this work, we also implemented a human-experience-based model that captures the procedures currently used by the current experts in charge of elaborating the inspection priority ranking.        The mining worksites risk rankings built by model achieve a 121.2% NDCG performance improvement over the rankings based on the currently used experts’ model and outperforms the non-multi-task learning alternatives.",,,,,
IAAI-59,Ontology-Enriched Query Answering on Relational Databases,Shqiponja Ahmetaj|Vasilis Efthymiou|Ronald Fagin|Phokion Kolaitis|Chuan Lei|Fatma Ozcan|Lucian Popa,"We develop a flexible, open-source framework for query answering on relational databases by adopting methods and techniques from the Semantic Web community and the data exchange community, and we apply this framework to a medical use case. We first deploy module-extraction techniques to derive a concise and relevant sub-ontology from an external reference ontology. We then use the chase procedure from the data exchange community to materialize a universal solution that can be subsequently used to answer queries on an enterprise medical database. Along the way, we identify a new class of well-behaved acyclic EL-ontologies extended with role hierarchies, suitably restricted functional roles, and domain/range restrictions, which cover our use case. We show that such ontologies are C-stratified, which implies that the chase procedure terminates in polynomial time. We provide a detailed overview of our real-life application in the medical domain and demonstrate the benefits of this approach, such as discovering additional answers and formulating new queries.",,,,,
IAAI-60,Finding Needles in Heterogeneous Haystacks,Bijaya Adhikari|Liangyue Li|Nikhil Rao|Karthik Subbian,"Due to intense competition and lack of real estate on the front page of large e-commerce platforms, sellers are sometimes motivated to garner non-genuine signals (clicks, add-to-carts, purchases) on their products, to make them appear more appealing to customers. This hurts customers' trust on the platform, and also hurts genuine sellers who sell their items without looking to game the system. While it is important to find the sellers and the buyers who are colluding to garner these non-genuine signals, doing so is highly nontrivial. Firstly, the set of bad actors in the system is a very small fraction of all the buyers/sellers on the platform. Secondly, bad actors ``hide"" with the good ones, making them hard to detect. In this paper, we develop CONGCN, a context aware heterogeneous graph convolutional network to detect bad actors on a large heterogeneous graph. While our method is motivated by abuse detection in e-commerce, the method is applicable to other areas such as computational biology and finance, where large heterogeneous graphs are pervasive, and the amount of labeled data is very limited. We train CONGCN via novel sampling methods, and context aware message passing in a semi-supervised fashion to predict dishonest buyers and sellers in e-commerce. Extensive experiments show that our method is effective, beating several baselines; generalizable to an inductive setting and highly scalable",,,,,
IAAI-74,Shape-based Feature Engineering for Solar Flare Prediction,Varad Deshmukh|Thomas Berger|James Meiss|Elizabeth Bradley,"Solar flares are caused by magnetic eruptions in activeregions (ARs) on the surface of the sun.  These events can havesignificant impacts on human activity, many of which can be mitigatedwith enough advance warning from good forecasts.  To date, machinelearning-based flare-prediction methods have employed physics-basedattributes of the AR images as features; more recently, there has beensome work that uses features deduced automatically by deep learningmethods (such as convolutional neural networks).  We describe a suiteof novel shape-based features extracted from magnetogram images of theSun using the tools of computational topology and computationalgeometry.  We evaluate these features in the context of a multi-layerperceptron (MLP) neural network and compare their performance againstthe traditional physics-based attributes.  We show that these abstractshape-based features outperform the features chosen by the humanexperts, and that a combination of the two feature sets improves theforecasting capability even further.",,,,,
IAAI-76,Identification of Abnormal States in Videos of Ants Undergoing Social Phase Change,Taeyeong Choi|Benjamin Pyenson|Juergen Liebig|Theodore Pavlic,"Biology is both an important application area and a source of motivation for development of advanced machine learning techniques. Although much attention has been paid to large and complex data sets resulting from high-throughput sequencing, advances in high-quality video recording technology have begun to generate similarly rich data sets requiring sophisticated techniques from both computer vision and time-series analysis. Moreover, just as studying gene expression patterns in one organism can reveal general principles that apply to other organisms, the study of complex social interactions in an experimentally tractable model system, such as a laboratory ant colony, can provide general principles about the dynamics many other social groups. Here, we focus on one such example from the study of reproductive regulation in small laboratory colonies of ~50 Harpgenathos ants. These ants can be artificially induced to begin a ~20 day process of hierarchy reformation. Although the conclusion of this process is conspicuous to a human observer, it is still unclear which behaviors during the transients are contributing to the process. To address this issue, we explore the potential application of One-class Classification (OC) to the detection of abnormal states in ant colonies for which behavioral data is only available for the normal societal conditions during training. Specifically, we build upon the Deep Support Vector Data Description (DSVDD) and introduce the Inner-Outlier Generator (IO-GEN) that synthesizes fake “inner outlier” observationsduring training that are near the center of the DSVDD data description.We show that IO-GEN increases the reliability of the final OC classifier relative to other DSVDD baselines. This method can be used to screen video frames for which additional human observation is needed. Although we focus on an application with laboratory colonies of social insects, this approach may be applied to video data from other social systems to either better understand the causal factors behind social phase transitions or even to predict the onset of future transitions.",,,,,
IAAI-77,"Where there's Smoke, there's Fire: Wildfire Risk Predictive Modeling via Historical Climate Data",Shahrzad Gholami|Narendran Kodandapani|Jane Wang|Juan M. Lavista Ferres,"Wildfire is a growing global crisis with devastating consequences. Uncontrolled wildfires take away human lives, destroy millions of animals and trees, degrade the air quality, impact the biodiversity of the planet and cause substantial economic costs.It is incredibly challenging to predict the spatio-temporal likelihood of wildfires based on historical data, due to their stochastic nature. Crucially though, the accurate and reliable prediction of wildfires can help the stakeholders and decision-makers take timely, strategic and effective actions to prevent, detect and suppress the wildfires before they become unmanageable. Unfortunately, most previous studies developed predictive models that suffer from some shortcomings: (i) they do not take the temporal aspects into account precisely and they assume the independent and identically distributed random variables in the evaluation phase; (ii) they do not evaluate their approaches comprehensively, thus it is not clear if their proposed predictions and selected models are reliable across different locations and time steps for practical deployment; and (iii) for the supervised learning models, they use predictor features and fire observations from the same time step in the training phase, which makes the inference task infeasible for future fire prediction. In this paper, we revisit the wildfire predictive modeling, explore the inherent challenges from a practical perspective and evaluate our modeling approach comprehensively via historical burned areas, climate and geospatial data from three vast landscapes in India.",,,,,
IAAI-87,Reinforcement Learning - based Product Delivery Frequency Control,Yang Liu|Zhengxing Chen|Kittipat Virochsiri|Juan Wang|Jiahao Wu|Feng Liang,"Frequency control is an important problem in modern recommender systems. It dictates the delivery frequency of recommendation to maintain product quality and efficiency. For example, the frequency of delivering campaign notifications impacts daily metrics as well as  infrastructure resource consumption. There remain open questions on what objective we should optimize for to best represent business values in long term, and how we should balance between daily metrics and resource consumption in a dynamically fluctuating environment. We propose a personalized methodology for the frequency control problem, which combines long-term value optimization using reinforcement learning (RL) with a robust volume control technique we termed 'Effective Factor'. We demonstrate statistically significant improvement in daily metrics and resource efficiency by our method in several notification applications at a scale of billions of users. To our best knowledge, our study represents the first deep RL application on the frequency control problem at such an industrial scale.",,,,,
IAAI-98,A Novel AI-based Methodology for Identifying Cyber Attacks in Honey Pots,Muhammed Abuodeh|Christian Adkins|Omid Setayeshfar|Prashant Doshi|Kyu Lee,"We present a novel AI-based methodology that identifies phases of a host-level cyber attack simply from system call logs. System calls emanating from cyber attacks on hosts such as honey pots are often recorded in audit logs. Our methodology first involves efficiently loading, caching, processing, and querying system events contained in audit logs in support of computer forensics. Output of queries remains at the system call level and is difficult to process. The next step is to infer a sequence of abstracted actions, which we colloquially call a storyline, from the system calls given as observations to a latent-state probabilistic model. These storylines are then accurately identified with class labels using a learned classifier. We qualitatively and quantitatively evaluate methods and models for each step of the methodology using 114 different attack phases collected by logging the attacks of a red team on a server, on some likely benign sequences containing regular user activities, and on traces from a recent DARPA project. The resulting end-to-end system, which we call Cyberian, identifies the attack phases with a high level of accuracy illustrating the benefit that this machine learning-based methodology brings to security forensics.",,,,,
IAAI-99,Carbon to Diamond: An Incident Remediation Assistant System From SiteReliability Engineers’ Conversations in Hybrid Cloud Operations,Suranjana Samanta|Ajay Gupta|Prateeti Mohapatra|Amar Prakash Azad,"Conversational channels are changing the landscape of hybrid cloud service management. These channels are becoming important avenues for Site Reliability Engineers (SREs) %Subject Matter Experts (SME) to collaboratively work together to resolve an incident or issue. Identifying segmented conversations and extracting key insights or artefacts from them can help engineers to improve the efficiency of the incident remediation process by using information retrieval mechanisms for similar  incidents.  However, it has been empirically observed that due to the semi-formal behavior of such conversations (human language) the conversations are very unique in nature and also contain domain-specific terms. %It is important to identify the correct keywords and artefacts like symptoms, issue etc., present in the conversation chats. In this paper, we build a framework that taps into the conversational channels and uses various learning methods to (1) understand and extract key artefacts from conversations like diagnostic steps and resolution actions taken and (2) present an approach to identify past conversations about similar issues. Experimental results on our dataset show the efficacy of the methods used in our proposed system.",,,,,
IAAI-101,Predicting Parking Availability from Mobile Payment Transactions with Positive Unlabeled Learning,Jonas Sonntag|Michael Engel|Lars Schmidt-Thieme,"Cruising for parking is a problem for many motorists and for communities that need to reduce emissions. A widespread provision of parking assistance to address this problem requires a scalable system to generate availability information. Existing approaches to estimate parking availability at scale use supervised learning and hence depend on ground-truth labels e.g. from sensors, user surveys or manual data collection.This dependency restricts the widespread deployment and sustainable operation especially the monitoring and re-training processes of the respective models.We describe a parking availability prediction system that resolves the dependency on customary ground-truth labeling. The new approach is based solely on data from parking ticket bookings via a mobile phone app. Every parking transaction serves as an implicit signal for parking availability which we leverage by applying algorithms and metrics for positive-unlabeled learning (PU-learning). This approach enables the deployment in diverse regions, as well as the scalable monitoring and retraining of models. We evaluate our framework on a real-world dataset in Seattle.",,,,,
IAAI-104,Personalizing Individual Comfort in the Group Setting,Emil Laftchiev|Diego Romeres|Daniel Nikovski,"Maintaining individual thermal comfort in indoor spaces shared by multiple occupants is difficult because it requires both intuition about the thermal properties of the room, as well as an understanding of the thermal comfort preferences of each individual. We explore an approach to optimizing individual thermal comfort within a group through temperature set-point optimization of HVAC equipment. We propose a weakly-supervised algorithm to learn the individual thermal comfort preferences and an autoencoding framework to learn static approximations of room thermodynamics. We further propose two approaches to learn a control law that sets the HVAC set-points subject to the preferred user temperatures. The proposed method is tested on a real data-set obtained from workers in an open office. The results show that, on average, the temperature in the room at each user's location can be regulated to within 0.5C of the user's desired temperature.",,,,,
